claim_id	claim_text	research_axis	evidence_status	date	task_episode	run_id	profile	source_path	raw_evidence_path	git_commit	design_id	configuration	command	exit_code	metric	negative_evidence	rollback_or_rejection	claim_boundary	reproducibility	paper_section	notes
C08	design-id、结果哈希、原始证据哈希和 freshness 增强了证据可追溯性	RQ2	PARTIALLY_SUPPORTED	2026-07-23	fence-v9m-owner-v9n	2026-07-23-rv64-v9m-fence-ordering-current-design | 2026-07-23-rv64-v9n-irrevocable-write-owner-residency	npc-dev	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/task-report.md	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence-index.md | .github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/evidence-index.md	-	sha256:2eff867b20012e0c004fb03431a2f0604f22c471d0b115fd2e02eb5a51b2c8b2	source/result/raw/provenance SHA	见 canonical commands	0	V9M result/raw SHA；V9N dispatch 变化触发 freshness GAP	缺少并发发布、崩溃和跨设计系统化故障注入	V9N 完整重放上层聚合	只能称增强可检测性，不能称消除全部 stale/cross-design/incomplete evidence	身份与哈希可逐项回查	系统设计；威胁	原子发布因果价值待实验
C09	失败关闭发布在局部测试通过时仍保留 GAP 和 UNQUALIFIED 状态	RQ2	SUPPORTED	2026-07-23	fence-v9m	2026-07-23-rv64-v9m-fence-ordering-current-design	npc-dev	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/task-report.md	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/module-aggregate/summary.txt | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/rtl-variants/summary.json	-	sha256:2eff867b20012e0c004fb03431a2f0604f22c471d0b115fd2e02eb5a51b2c8b2	FENCE current-design	make -C npc/rv64 check-fence-ordering	0	focused 2/2；module 109/109；variants 2/2；validator 12/12	full-core 38 blockers；PPA UNQUALIFIED	promotion=false	支持该发布链的限定行为，不代表所有历史发布路径一致	任务报告和证据摘要可复核	系统设计；七月案例	FENCE-G1 CLOSED 不等于 full-core CLOSED
C10	mutation-qualified verification 能识别预先定义的一组错误实现	RQ3	SUPPORTED	2026-07-22—2026-07-23	ifu-v9i-fence-v9m-owner-v9n	multiple	-	.github/task-runs/2026-07-22-rv64-v9i-ifu-access-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/task-report.md	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/rtl-variants/summary.json | .github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/evidence/rtl-variants/summary.json	-	6236…；2eff…	compile-success RTL variants	见各 canonical command	0	IFU 19/19；FENCE 2/2；STORE/AMO 2/2 动态拒绝	故障集由设计者选择；可能存在等价或不可观测变体	不合格变体不发布	只对列出的非等价变体和 oracle 作结论	报告给出分母、源码不变与拒绝结果	方法；七月案例	mutation 不是完整正确性证明
C11	mutation 全部通过即可证明 oracle 充分并证明 RTL 正确	RQ3	CONTRADICTED	2026-07	oracle-weakness	known-issues	-	.github/memory/known-issues.md	.github/memory/known-issues.md	-	-	同值连接、force/release 旧值、编译成功变体	-	-	存在未改字节、不可观测连接和旧值假绿反例	这些反例直接否定强主张	弱 oracle 必须修订	Mutation 只是指定故障模型中的辨识证据	通过 DB stored document 可回查	有效性威胁	等价 mutant 不得计入 mutation score 分母
C12	反馈循环和回滚机制在具体优化中拒绝了可观测回归	RQ4	SUPPORTED	2026-05—2026-06	rollback-cases	2026-05-29-ooo-cpi-645-iq-fix | 2026-06-29-rv64-ooo-core-architecture-constitution	-	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	-	-	AM add；riscv-tests；AM；module TB	见报告	per-command；见报告	双 memory CPI 0.645→0.665；spec-on 255/16、25/32；回退 271/0、113/113	候选违反既定门禁	恢复单 memory；mode=0	只支持这些候选在这些 workload 和门禁下被拒绝，不证明最终方案全局最优	计数和回退验证均在报告	五月/六月案例；安全搜索	局部 ROB-walk PASS 没有修复前端/JALR 死锁
C13	反馈、分层验证和回滚构成比单次生成更安全的搜索框架	RQ4	PARTIALLY_SUPPORTED	2026-05—2026-07	safe-search-framework	multiple	-	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	-	-	纵向案例	-	-	多个坏候选未留在接受状态	缺少固定预算的单 Prompt 对照	候选被拒绝或回滚	可作为系统设计命题，不能写成普遍因果定理	案例路径可复核	讨论；未来实验	需要 B0—B3 和组件消融
C14	5ns PPA proxy 在其约束模型下得到 top40 40/40 MET 和最差正裕量 +0.017907454ns	PPA 边界	SUPPORTED	2026-07-14	t4i-proxy	2026-07-14-rv64-t4i-standard-axi-lanes	yosys-sta	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/task-report.md	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/evidence/opensta-fresh-t4i-final/opensta-current-check-setup.txt	-	-	典型 liberty；ideal clock；placeholder macro；5.000ns	见 T4I task-report	0	top40 40/40 MET；worst +0.017907454ns	303 input、1873 output delay 缺失；1875 unconstrained endpoints；无 SPEF/CTS/OCV	不作为物理 promotion	仅为冻结 RTL 的 gate-level proxy 筛选结果	报告、STA setup 与计数均可回查	七月案例；PPA 限定	17.907ps 仅占 5ns 的 0.36%
C15	上述 PPA proxy 证明设计达到 200MHz 物理签核要求	PPA 边界	CONTRADICTED	2026-07-14	t4i-proxy	2026-07-14-rv64-t4i-standard-axi-lanes	yosys-sta	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/task-report.md	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/evidence/opensta-fresh-t4i-final/opensta-current-check-setup.txt	-	-	非签核代理约束	-	0	-	缺 I/O delay、未约束端点、理想时钟、无寄生/CTS/OCV、占位宏	PPA UNQUALIFIED	不得使用签核、可流片或板级达标表述	同 C14	有效性威胁；结论	强主张被直接反证
C16	Yosys 日志证明指定 RTL 快照完成通用结构展开并给出结构统计	EDA 结构审计	SUPPORTED	2026-07-15	r3p4-light-yosys	2026-07-15-rv64-ppa-architecture-recovery	yosys-sta	.github/task-runs/2026-07-15-rv64-ppa-architecture-recovery/task-report.md	.github/task-runs/2026-07-15-rv64-ppa-architecture-recovery/evidence/ppa-r3p4-alu-terminal/light-yosys/yosys.log	31e90c679050a3a9138c967151b240f0fa2ab158	-	Yosys 0.66+197；generic RTL structure	见 task-run runner	0	18115 wires；296118 bits；14645 cells；507 dff；6768 mux；1568 pmux；76 unique warnings；24.82s	无目标库映射、布局布线或物理时序	仅作为结构审计	不支持映射面积或频率结论	原始日志保留 End of script 和统计	七月案例；结构审计	warning 数是审计线索，不等于失败数
C17	该 Yosys 日志证明映射面积或时序已经优化	PPA 边界	CONTRADICTED	2026-07-15	r3p4-light-yosys	2026-07-15-rv64-ppa-architecture-recovery	yosys-sta	.github/task-runs/2026-07-15-rv64-ppa-architecture-recovery/task-report.md	.github/task-runs/2026-07-15-rv64-ppa-architecture-recovery/evidence/ppa-r3p4-alu-terminal/light-yosys/yosys.log	31e90c679050a3a9138c967151b240f0fa2ab158	-	generic cells	-	0	-	无目标工艺、面积单位、STA 或布局布线	保持 PPA UNQUALIFIED	generic cell 数不能替代映射 PPA	同 C16	有效性威胁	强主张无证据
C18	NEMU 在指定镜像和配置下挂载 Ubuntu 22.04 ext4 rootfs 并进入 /bin/sh	系统里程碑	SUPPORTED	2026-06-04	nemu-ubuntu-rootfs	2026-06-04-riscv64-nemu-ubuntu2204	rv64-linux	.github/task-runs/2026-06-04-riscv64-nemu-ubuntu2204/task-report.md	Linux/env/logs/linux-front/riscv64-nemu-ubuntu-rootfs-virtio-8b/console.log	-	-	ARCH=riscv64-nemu；BOOT=ubuntu-rootfs	make -C Linux ARCH=riscv64-nemu run	0	vda 2GiB；EXT4 mounted；Ubuntu 22.04.5；/bin/sh -c exit=0；shell prompt	单次启动不覆盖全部设备、服务与长期稳定性	-	可称进入 shell 的里程碑，不称完整平台全部可用	原始 console marker 可回查	六月案例侧栏	日志包含无 tty/job control 提示
C19	2026-06-15 的 NPC run 已完整启动 Ubuntu 并进入可交互用户空间	系统里程碑	CONTRADICTED	2026-06-15	npc-ubuntu-rootfs	2026-06-15-npc-ubuntu-current-direct	rv64-linux	.github/task-runs/2026-06-15-npc-ubuntu-current-direct/task-report.md	.github/task-runs/2026-06-15-npc-ubuntu-current-direct/evidence/npc-rv64-linux-rootfs-mount-smoke-script/console.log	-	-	340M rootfs mount + systemd banner smoke	见 task-report	0	VFS root；systemd PID1；Ubuntu banner；hostname marker	没有 root@ prompt 或 __NPC_SYSTEMD_CHECK_DONE__ rc=0	保留 hard-gate GAP	只支持该历史 run 的 rootfs mount 与 systemd/banner 阶段性里程碑；不否定后续 NPC 进展	原始 console 可回查	六月案例侧栏	不能与 NEMU /bin/sh 或七月 A3 系统事务证据写成同一层级
C20	不同阶段的 CPI 和 CoreMark 数字可以直接证明四月至七月设计持续变快	性能可比性	CONTRADICTED	2026-05	performance-comparability	2026-05-29-ooo-cpi-645-iq-fix | 2026-05-30-rv64-coremark-cpi	-	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-05-30-rv64-coremark-cpi/task-report.md	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-05-30-rv64-coremark-cpi/task-report.md	-	-	不同 workload、设计快照与测量阶段	见各报告	0	各 episode 内有局部数字	分母、workload、设计和阶段定义不一致	禁止拼接统一趋势线	只能在完全匹配配置内逐案例比较	原报告可回查	方法；有效性威胁	6.017→0.779 是 phase metric，不与 0.645 横比
C21	OooPendingDrainResolveGate 在三个不可变 Git 快照中从基本后端排空演化为退休侧存储静默，并进一步为 ordinary FENCE 增加完整内存 owner 静默	纵向模块演化	SUPPORTED	2026-06-28—2026-07-23	pending-drain-three-snapshot-evolution	2026-06-28-npc-rv64-ooo-perf-opt | 2026-07-13-rv64-t3i-drain-retire-redundancy | 2026-07-23-rv64-v9m-fence-ordering-current-design	-	npc/rv64/vsrc/control/OooPendingDrainResolveGate.v | docs/research-paper/module-evolution-evidence.md	.github/task-runs/2026-06-28-npc-rv64-ooo-perf-opt/campaign-report.md | .github/task-runs/2026-07-13-rv64-t3i-drain-retire-redundancy/task-report.md | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/rtl-variants/summary.json	0bb371593315afe507752dc134cabf122ed9751c | 8532bad0794cb34199c8adf49b080e1773b1f16f | c29532ead32bf2a268b821cef9665a44aec58f9f	sha256:2eff867b20012e0c004fb03431a2f0604f22c471d0b115fd2e02eb5a51b2c8b2	三个不可变 Git 文件快照；快照 C 绑定 V9M current-design	git show/git diff；精确命令见 module-evolution-evidence.md	逐命令；见各报告	文件 SHA e0ac…8c7→574f…28f→6be3…8b6；快照 B 2176 cases；快照 C focused 2/2、module 109/109、variants 2/2	快照 A 无谓词级负向 oracle；快照 B 两种 theorem mutation；快照 C 两份 compile-success RTL variant	T3I 两种 proof bypass 与 V9M 两份 RTL 变体均被拒绝	支持源码合同的精确纵向演化和指定 oracle 辨识力；不支持单条件性能因果、全状态空间或全核正确性	docs/research-paper/module-evolution-evidence.md	七月单模块三快照演化；有效性威胁	快照之间存在 LSQ/SQ、pending event 与其他模块的并行变化，不是受控消融
C22	NPC A3 在 design-id c1b531… 上完成了可回查的 Ubuntu 22.04 系统事务：OpenSBI、Linux、vda/ext4、systemd/root context、virtio 读写与 IRQ、自然关机和 system-reset clean exit	系统里程碑；RQ1；RQ2	SUPPORTED	2026-07-27—2026-07-28	npc-v10e-a3-19h-system-transaction	2026-07-27-rv64-v10e-current-design-system-recert | 2026-07-28-rv64-v10f-a3-checker-replay-v2	manual-systemd-strict | rv64-systemd-contract	.github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/completion-definition.md | docs/research-paper/ubuntu-19h-milestone-evidence.md	.github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/rootfs-c1b531-systemd-strict-6b-a3/guest/console.log | .github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/rootfs-c1b531-systemd-strict-6b-a3/systemd-transaction-evidence.json | .github/task-runs/2026-07-28-rv64-v10f-a3-checker-replay-v2/evidence/replay-verdict.log	-	sha256:c1b5317212bfe47e507eac83a28dff405527f50493e3709e96ffbec2dc3bb594	6B max cycles；OOO_CSR_QUEUE_HEAD=1；OOO_ASSERT=1；OOO_TERMINAL_HOLDER_ASSERT=1；UART RX 0 byte；2 GiB 隔离 rootfs	.github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/run-v10e-current-design-systemd-strict.sh | python3 scripts/github_index_db.py evidence --run-id 2026-07-28-rv64-v10f-a3-checker-replay-v2 --json	source rc=1；simulator system-reset code=0；frozen replay PASS	墙钟约 19h14m43s；sim host 18h48m22s；5,071,521,696 cycles；1,223,536,213 commits；CPI 4.145；strict 16/17；terminal 6/6	live dmesg gate 将 printk: debug 误判为 BUG；strict done rc=1；A4 被 TERM 中断	原始 FAIL 保留；replay 为 APPROVED_NOT_PROMOTION_ELIGIBLE；architecture GAP；PPA UNQUALIFIED	支持该冻结 design-id 上的 guest 系统事务和 oracle 假阳性诊断；不支持 raw 17/17 recert、更新后 RTL 等价结果或架构/PPA 晋级	docs/research-paper/ubuntu-19h-milestone-evidence.md	七月 Ubuntu 十九小时里程碑；有效性威胁	“十九小时”是宿主流水线/仿真耗时，不是 guest 连续运行十九小时
C23	A3 可以被计为 raw 17/17 current-design system recertification PASS，并据此完成架构冻结或 PPA 资格	系统里程碑；发布边界	CONTRADICTED	2026-07-28	npc-v10e-a3-promotion-boundary	2026-07-27-rv64-v10e-current-design-system-recert | 2026-07-28-rv64-v10f-a3-checker-replay-v2	rv64-systemd-contract	.github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/completion-definition.md | docs/research-paper/ubuntu-19h-milestone-evidence.md	.github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/rootfs-c1b531-systemd-strict-6b-a3.status | .github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/rootfs-5f9dd068-systemd-strict-6b-a4.status | .github/task-runs/2026-07-28-rv64-v10f-a3-checker-replay-v2/evidence/replay-verdict.log	-	sha256:c1b5317212bfe47e507eac83a28dff405527f50493e3709e96ffbec2dc3bb594	A3 live status + frozen-oracle replay + A4 status	见 C22	A3 rc=1；A4 rc=143；replay PASS but not promotion eligible	16/17、source FAIL preserved、A4 INTERRUPTED_NOT_PASS、architecture GAP、PPA UNQUALIFIED	原始状态和独立 reviewer 直接否定强主张	禁止把 oracle replay 改写为新 live run，也禁止从系统事务外推 architecture/PPA signoff	可按 C22 的证据文档逐项复核	七月 Ubuntu 十九小时里程碑；结论边界	系统行为完成与交付门通过是两个不同命题	冻结 replay 不覆盖 source FAIL，也不授权架构或 PPA 晋级。
C27	当前 design-id 093c2380…1a7488 已达到 ARCH_STABLE，并通过绑定端点资格勘误的冻结证据重放形成 PERF_BASELINE；CoreMark 与 Dhrystone 均为三次 bit-exact，且 stats-on/off 的 cycles/retired 一致。	当前架构；性能基线；RQ1；RQ2	SUPPORTED	2026-08-04	rv64-v14m-v14n-current-performance-baseline	2026-08-04-rv64-v14m-arch-stable-current-cohort-v1 | 2026-08-04-rv64-v14n-performance-baseline-current-v2	arch-stable | performance-baseline	npc/rv64/eval/ppa/evidence/arch-stable-current.json | npc/rv64/eval/ppa/evidence/performance-baseline-current.json | npc/rv64/design/arch/performance-boundary-qualification-amendment-v1.json	.github/task-runs/2026-08-04-rv64-v14n-performance-baseline-current-v2/performance-baseline-current.status | .github/task-runs/2026-08-04-rv64-v14n-performance-baseline-current-v2/checker-replay-endpoint-correction-v1.status | .github/task-runs/2026-08-04-rv64-v14n-performance-baseline-current-v2/evidence/checker-replay-endpoint-correction-v1/result.json	-	sha256:093c2380b997029944aa4462015d83711d7c5f1d52b15b4803c4515a581a7488	冻结 ARCH_STABLE simulator；CoreMark10；Dhrystone10000；每 workload 三次 stats-on、一次 stats-off；PC-bounded ROI；endpoint amendment	npc/rv64/eval/ppa/run-performance-baseline-replay.sh；精确入口见 npc/rv64/eval/ppa/PERFORMANCE_BASELINE.md	source rc=1；checker replay rc=0	CoreMark 5392187 cycles / 3183617 retired / CPI 1.693729804810；Dhrystone 10311431 / 4250000 / CPI 2.426219058824；stats-on/off match	旧 consumer 因 Dhrystone lane1→lane0 的 phase_aligned=0 拒绝；A1/A2 原始 FAIL 保持不可变	以版本化端点勘误和冻结日志组合重放修正资格合同，不修改 RTL、workload、ROI 或原始状态	只支持 ARCH_STABLE cohort 与 PERF_BASELINE；PPA=UNQUALIFIED、promotion=false，不证明 CPI 已优化	canonical JSON、原始 status、冻结 replay result 和哈希均可回查	工程五：可审计 CPI/PPA 优化入口	端点方程为 slot_capacity=2*cycles+end_lane-start_lane；重放 PASS 不覆盖原始 runner FAIL
